Grand Prix,Timestamp,Driver Code,Driver Name,Speaker,Message
Australian,16:47,NOR,Norris,Norris,"And Lando, Barnsey put it on your piece of tape. One who's laughing. I only did it for him. Thanks Barnsey for everything. Beautiful career. I did it on a high. Thank you very much for everything."
Australian,16:48,COL,Colapinto,Colapinto,"Choking pace, oh so slow ."
Australian,16:48,OCO,Ocon,PIT,"Thank you Laura. Yeah, positive weekend, it's a lot of good stuff, even if the race was very difficult, not as good as we would have liked, it's take the positive for you guys and we'll come back stronger after the break."
Australian,16:49,LAW,Lawson,Lawson,"It was pretty tough, good, really good job. Very good call on the strategy as well. Had me doubting it in the car, but very, very good job. Thank you. Car was so good. We wanted to keep you active, you know? We didn't want you to fall asleep. I literally said I don't want to overtake cars at the end of the race, and that's what you had me do. But you see, you could do it."
Australian,16:50,ANT,Antonelli,PIT,"Nice work Kimi. P3 buff, not a bad day. That was tough. Yeah, copy that, you earned your money today mate. Thanks everyone. It was a damage limitation after yesterday. So thank you everyone."
Australian,15:55,COL,Colapinto,Colapinto,AUDIO ONLY .
Australian,16:04,ALB,Albon,Albon,"Just check for damage in plant 4, exit cap."
Australian,16:18,ALO,Alonso,Alonso,"All right. Good job. Maybe a bit more to come the next set. Let's go. Yeah, let's go."
Australian,16:19,ALB,Albon,Albon,"Oh, that's terrible. Why, why, why is the balance changing so much? Alex, it was a good lap considering the car is all over the place. That's on us."
Australian,16:19,SAI,Sainz,PIT,"It was a good lap considering the conditions, it's all that our car had in it. Let's see what we can do overnight. Yeah, just keep working."
Australian,16:32,ANT,Antonelli,Antonelli,I've got no grip on them. Like I don't know we're doing something wrong with tires. I have zero grip .
Australian,16:32,HAD,Hadjar,Hadjar,"Okay, but I come on someone's always the same ."
Australian,16:34,HAM,Hamilton,Hamilton,That was a pretty tricky lap. I spent more time in it.
Australian,16:40,LAW,Lawson,Lawson,"Oh man, such a bad luck. It's so hard to drive."
Australian,16:41,OCO,Ocon,Ocon,There's a high chance. I broke the floor Three .
Australian,16:41,LIN,Lindblad,Lindblad,"I mean, for me, we seem genuinely competitive, so let's throw everything at it."
Australian,16:42,GAS,Gasly,Gasly,"Focus on tomorrow, thanks guys. Alright, thank you."
Australian,17:02,NOR,Norris,Norris,"Oh, just go whatever is to be honest. Thank you very much ."
Australian,17:11,PIA,Piastri,PIT,Being blessed.
Australian,17:12,VER,Verstappen,Verstappen,The course is completely broken aerodynamically. It's getting worse and worse. What a weekend.
Australian,17:12,HAM,Hamilton,Hamilton,AUDIO ONLY .
Australian,17:13,RUS,Russell,PIT,so stop stop stop stop stop stop stop .
Australian,12:26,RUS,Russell,Russell,AUDIO ONLY .
Australian,12:42,BOT,Bottas,Bottas,The rear end overall was a bit all over the place in that mountain.
Australian,12:47,BOT,Bottas,PIT,"Do you have any vibrations? Yes, sadly this set is gone. The vibration is too big."
Australian,12:51,PER,Perez,Perez,I lost the engine. I've had a massive break. It looks like the brakes are on fire on the back.
Australian,13:03,HAD,Hadjar,Hadjar,"Ouch, that was tough on the floor."
Australian,13:21,HAD,Hadjar,Hadjar,Enjoyable .
Australian,13:31,SAI,Sainz,PIT,"Check the guard, I destroy the black in front for it. Copy, will check it."
Australian,16:55,PER,Perez,Perez,AUDIO ONLY .
Australian,17:05,GAS,Gasly,PIT,"If something feels wrong on the car, it's extremely bad. Okay, worse than P1, question? Yes, I have a look, it just feels broken in turn 12, something with the front is wrong."
Australian,17:07,RUS,Russell,Russell,"Look at that dreadful display, the car is so out of balance."
Australian,17:09,ANT,Antonelli,PIT,"My god, they almost spun twice on braking. What is going on? Yeah, copy. I think we should both drop a bit of air balance That's all you think No, but I keep blocking the rear ."
Australian,17:26,HAD,Hadjar,Hadjar,"The mess, the chicane, I don't know what the f*** is happening, I'm slowing down as hard as I can, and I can't, just can't hit the apex, like, I have to handbrake the corner. Copy, keep walking on the suggestion."
Australian,17:37,ANT,Antonelli,Antonelli,"Yeah, but I keep locking the rear, man. It's it's too much ."
Australian,17:50,LIN,Lindblad,Lindblad,"Yeah, I mean I thought it's different but what the cross practice ."
Australian,13:25,GAS,Gasly,Gasly,AUDIO ONLY .
Australian,13:36,VER,Verstappen,Verstappen,"I can't believe all these guys, that was actually really dangerous, I could even slam on the brakes ."
Australian,13:38,BOR,Bortoleto,Bortoleto,You think the damper is okay on the right side. I had a lot of bouncing out of 13.
Australian,13:41,VER,Verstappen,Verstappen,"and the car is jumping like crazy, really bad jumping on the front axle, really bad."
Australian,13:44,LAW,Lawson,PIT,"I had some really, really bad engine braking as well at my low speed. Switchy last sector. Just really difficult to drive the car."
Australian,13:51,HAM,Hamilton,Hamilton,That car feels pretty bad. Right. Very poor. We're all stiff. It's too stiff.
Australian,14:01,FOR,Fornaroli,PIT,The rear wing is working well .
Australian,14:03,VER,Verstappen,Verstappen,"How are shifts? Same, it's not good. What's ride? Same, not good. And lag? A little bit better in the last corner now because of the gear."
Australian,14:09,HAM,Hamilton,Hamilton,AUDIO ONLY .
Australian,14:10,HAM,Hamilton,Hamilton,AUDIO ONLY .
Australian,14:10,HAM,Hamilton,Hamilton,"Something's wrong with the upshifts and downshifts, like downgraded upshifts and downshifts all the time."
Australian,14:22,LEC,Leclerc,Leclerc,"Uh, that's a big broke. Copy, boss."
Australian,14:35,FOR,Fornaroli,PIT,"Thanks guys for a good weekend, we really thought about the mistake on the top half."
Australian,12:42,RUS,Russell,Russell,AUDIO ONLY .
Australian,15:52,ALO,Alonso,Alonso,AUDIO ONLY .
Austrian,14:16,HUL,Hulkenberg,Hulkenberg,AUDIO ONLY .
Austrian,14:31,GAS,Gasly,Gasly,"And the water is like 45 degrees, yeah like 50. 0:5.2"
Austrian,14:32,PIA,Piastri,Piastri,"Um, can we just check that the left side of my seat, I mean I guess it's coming out, anyway, but it feels like it's not, probably in, uh, like around my left leg Probably not, yeah . 0:17.9"
Austrian,15:08,PER,Perez,Perez,"I'll follow that up as well, because I think that's good. 0:5.9"
Austrian,15:14,RUS,Russell,PIT,"So the stamp could trigger this early, he is very close to Lewis, every extra second we can get. 0:13.3"
Austrian,15:16,VER,Verstappen,Verstappen,I respect . 0:7.2
Austrian,15:18,HAM,Hamilton,PIT,"Out -of -lap critical, out -of -lap critical. Let's push. 0:6.5"
Austrian,15:22,RUS,Russell,Russell,"I think I saw a starfish over here too, the one stopping at the bus stop. I see them. 0:09"
Austrian,15:24,HAM,Hamilton,Hamilton,"Hey, it's okay better now you're faster than sharp . 0:7.6"
Austrian,15:27,NOR,Norris,PIT,"I know we're going to stay out, he'll get cleaner, we're going to extend. I've got no more pace, so this is it. 0:11.9"
Austrian,15:32,HAM,Hamilton,PIT,"And back on harder, since lower, we are thinking also about plumping. It doesn't feel that way to me, mate. 0:12.7"
Austrian,15:34,HAM,Hamilton,PIT,"Box, box, box. It's over too late. We can ride it. 0:8.9"
Austrian,15:35,ANT,Antonelli,Antonelli,"Bono, what is happening with this brake? I have no confidence. We've got a brake split, mate, so one's hotter than the other. 0:13.4"
Austrian,15:42,HAM,Hamilton,PIT,"And more that yes more that yes, why do I think it's proteus damn, but you're already have no power . 0:11.1"
Austrian,15:51,HAM,Hamilton,PIT,We need to get the piastre. I know you are dying . 0:6.9
Austrian,15:58,VER,Verstappen,PIT,"So, yeah, best you can at this stage of the race, we'll just try to build a bit of a tyre offset. Hope he gets into trouble towards the end. I'll take it. Copy. 0:11"
Austrian,15:59,RUS,Russell,Russell,"Though Kimi keeps extending, but that one's going to keep on extending and put us in the race. 0:7.6"
Austrian,16:04,ANT,Antonelli,PIT,"Okay, come here, let's go. Just maintain the focus. 0:6.6"
Austrian,16:12,LEC,Leclerc,Leclerc,It's . 0:5.1
Austrian,16:14,LEC,Leclerc,Leclerc,I want to have a good produce to stop again now nothing . 0:6.6
Austrian,16:30,RUS,Russell,PIT,"Good job, mate. Woo! That was two years ago. Yabba -dabba -doo! Yabba -dabba -doo. Well, well done, guys. I'm happy. Well done. Thank you so, so. Good team result. Well done. Well done, everybody. 0:18.5"
Austrian,16:31,VER,Verstappen,PIT,"Ah, good job Max, well done. Throwing the wheels off it, that's normal. Thanks for the help. 0:12.4"
Austrian,16:32,RUS,Russell,Russell,"drink system failed, nice race for it to do so, I'm a little bit thirsty, great job well have a drink ready for your podium . 0:11.2"
Austrian,15:58,ALO,Alonso,Alonso,AUDIO ONLY .
Austrian,16:12,RUS,Russell,Russell,"Just a bit similar to the FB3 runs, four -wheel sliding. 0:13.4"
Austrian,16:19,ALO,Alonso,Alonso,"Yeah, that's a good lap, and yeah, not what we want, but not too far, not too far, we're getting closer. 0:15.5"
Austrian,16:33,PIA,Piastri,Piastri,The center line of my right front tire looks like it's got some weird lines in it. 0:9.7
Austrian,16:35,RUS,Russell,PIT,"North, just drive. 0:6.6"
Austrian,16:41,GAS,Gasly,PIT,All that good luck to me with you we are not . 0:9.8
Austrian,16:42,BEA,Bearman,Bearman,"That was what she had really guys. That was a really pretty good love Sure, sorry, you know, it looked good. Well, it will be tomorrow. Thanks Ollie . 0:14.9"
Austrian,16:44,OCO,Ocon,Ocon,"Yeah, I was happy with that a lot to be honest. Nothing left. Probably is. 0:8.1"
Austrian,16:54,HAM,Hamilton,PIT,"Can I go for a second map negative? Oh, he's supposed to have a supposed to have a bank it feel why . 0:09"
Austrian,17:07,ANT,Antonelli,Antonelli,"That was the love man, that was the love oh my god, that was the love . 0:10.3"
Austrian,17:11,RUS,Russell,Russell,"Lifted entry to that corner, lost a lot of time, but I lifted, big lift on the entry to that corner, I lost a good tenth and a bit. 0:12.3"
Austrian,17:11,RUS,Russell,Russell,"Nice job. Stay calmo, stay calmo. Just drive. Just drive. And enjoy. Just drive, the boss says. Nice work, well done. That was a really good lap. Oh, beautiful. Beautiful. It was hooked up like a beauty! 0:27.6"
Austrian,12:42,COL,Colapinto,Colapinto,AUDIO ONLY .
Austrian,12:42,COL,Colapinto,PIT,The Aero P3 6th gear. 0:3.3
Austrian,12:45,PER,Perez,Perez,Let's try to rebalance this set because the revisions are high. 0:4.6
Austrian,12:49,NOR,Norris,Norris,"That mirror is completely broken, so I don't know if we ever replaced it or how many spares we got, but just clean it out. 0:13.8"
Austrian,12:52,VER,Verstappen,Verstappen,"Yep, that's it, we're at F27, I need to change my earplugs and, uh, send the balaclava, it's something really awful. That's it. 0:15.2"
Austrian,12:53,PIA,Piastri,Piastri,"my seat behind my left shoulder, because I feel something stuck behind my shoulder blades, copy . 0:11.1"
Austrian,12:55,VER,Verstappen,Verstappen,"Still have my statement, really, like, right at the top. Copy. 0:5.9"
Austrian,12:59,RUS,Russell,Russell,really bad straight line braking on the front axle . 0:6.1
Austrian,13:14,ALO,Alonso,Alonso,"I cannot turn the car to, for example, run on the front. 0:8.2"
Austrian,13:21,LIN,Lindblad,Lindblad,"Yeah, I'm really struggling with confidence with these brakes. I feel like I have a lot of fully copy . 0:8.7"
Austrian,13:27,HAD,Hadjar,Hadjar,"What's happening turn 1 and turn 3? Like turn 3, like let's not act like I'm working hard, okay? The thing just locks up completely. Understood Isaac. 0:19.4"
Austrian,13:33,HAM,Hamilton,Hamilton,"I locked up in three, I locked the rears, I hit each other gearbox, it said shift when I was, it said it was shifting when I was in interstitial. 0:12.2"
Austrian,13:31,LIN,Lindblad,Lindblad,Just check the guard pull away. I don't know why I felt like I had a lot of bites and then I got hunted twice. 0:7.3
Austrian,13:33,VER,Verstappen,Verstappen,"Oh, God. I couldn't lose the clutch I got at the start. 0:8.1"
Austrian,13:34,RUS,Russell,Russell,"Yeah, this is from another deputy person, about way to my place last week. Okay, I'll post it. 0:9.8"
Austrian,13:39,ALB,Albon,PIT,Are you happy with the chart at all? I think we get less of a chart. Really? 0:6.8
Austrian,13:52,PIA,Piastri,Piastri,"The brake pedal goes very low, and very inconsistent. Oh, okay. 0:10"
Austrian,13:56,PER,Perez,Perez,One of the cooling on the right -hand side is coming off part of the body work Coming coming box box box box . 0:12.4
Austrian,13:57,VER,Verstappen,Verstappen,"I have not been able to feel it, basically, it's just tired, a little hard to hold it. 0:11.8"
Austrian,14:00,HAM,Hamilton,Hamilton,"That's a good trip at the moment, Paul. 0:7.4"
Austrian,14:01,PIA,Piastri,Piastri,"I'm struggling quite a lot with these brakes, you know, like every time I hit the pedal it's a lot of ease to how much trouble I have. I'll be understood. 0:13.2"
Austrian,14:02,VER,Verstappen,PIT,I don't know what's happening on the road there. 0:08
Austrian,14:15,PER,Perez,Perez,"Yeah, I lost ignition. It's everything by God . 0:8.7"
Austrian,14:28,PER,Perez,Perez,"Again, I lost everything. It's my god again. 0:7.7"
Austrian,14:30,BEG,Beganovic,Beganovic,Thanks for another opportunity. It means a lot. Good job. Thank you. 0:11.7
Barcelona,14:24,HAM,Hamilton,Hamilton,"Eval, what do you think of it? What do you think of it? Maybe looking for ears? 0:07"
Barcelona,14:29,ANT,Antonelli,Antonelli,"Brakes feel quite bad already, quite long. Feels like air is in the system. Copy, we'll have a look at it. 0:12"
Barcelona,15:15,NOR,Norris,PIT,"Lando, how's the pace, how's the tires? Just, yeah, sliding everywhere. 0:9.5"
Barcelona,15:18,VER,Verstappen,Verstappen,"Yeah, it's not like a lot to the bias the league on the street. It's not impressive . 0:9.2"
Barcelona,15:19,RUS,Russell,PIT,Is that Lewis in? He's probably going for a three. 0:7.5
Barcelona,15:22,RUS,Russell,PIT,"If I was managing in that first stint, you could have given me the heads up, but you've exposed me to Kimmy now. I don't think it's going to be long for everyone. If I needed to update you on the plan, that would be really, really quick. Still on plan here, Jordan. Nothing to worry about here. 0:15.5"
Barcelona,15:24,LEC,Leclerc,PIT,"And Fox Charles Fox, we have the gap to cover Piasco We don't care about Piasco, let's look for the head before the face Ok, let me know on flat, we stay out this lap then, stay out this lap . 0:13"
Barcelona,15:30,COL,Colapinto,PIT,"Okay, Frank, this is an instruction. We need to switch cars into turn one. Please switch into turn one. Switch cars? Paper. Two into turn four, please. Turn four, switch the cars. It's one out of seconds, Rod. What are you blushing? 0:16.7"
Barcelona,15:32,ANT,Antonelli,Antonelli,"Happy with fortune. Affirm, Kimmy. Good lap times. 0:7.8"
Barcelona,15:37,HUL,Hulkenberg,PIT,I'm on the break here. Dangerous. 0:6.7
Barcelona,15:43,RUS,Russell,PIT,"To update, Lewis will be on a 3. We are still racing at Norris so we need to keep these lap times going. 0:9.8"
Barcelona,15:43,ANT,Antonelli,PIT,"It's going to give me black or white flag for track limits, so no more of those please, otherwise it's a five second penalty. 0:8.1"
Barcelona,15:47,HAM,Hamilton,PIT,Do you know what time they need to do? 20 .9. Charlie's in forward. You are a different strategy. 0:10.2
Barcelona,15:49,ANT,Antonelli,PIT,"Give you a reminder the track limits, let's not take any risks . 0:6.3"
Barcelona,15:50,HAM,Hamilton,PIT,"Am I catching now? You are catching really well. Keep pushing, keep pushing. 0:8.3"
Barcelona,15:50,ANT,Antonelli,PIT,"Thank you, it won't be long for George. We are at risk for Norris behind in 3 .9 seconds. 0:10"
Barcelona,15:51,ANT,Antonelli,PIT,"So let's not slow each other down racing, we need to keep that gap to Morris, nice and healthy, now at 4 .3. 0:10.6"
Barcelona,15:54,ANT,Antonelli,PIT,"It won't be long, Kimmy. Got to cover Norse. 0:6.7"
Barcelona,15:56,HAM,Hamilton,PIT,And we are planning other seven laps on this set. This is our race. Give everything these seven laps. It's the critical moment. We have our chance. 0:12.2
Barcelona,15:58,RUS,Russell,PIT,and we are forecast to be battling with Lewis end of race on that three stop . 0:6.7
Barcelona,16:01,HAM,Hamilton,Hamilton,And your iPhone . 0:9.1
Barcelona,16:01,HAM,Hamilton,Hamilton,Great job guys . 0:4.1
Barcelona,16:03,RUS,Russell,PIT,"24 laps remaining, that's the race up ahead of you, got 1 .3 behind . 0:9.6"
Barcelona,16:11,NOR,Norris,PIT,"And Land of Our Race is having better pace over the whole stint than the cars ahead. I just said pace, so I either go with them or I drop back and it's gone. So I can't devise I'm afraid. 0:15.3"
Barcelona,16:13,NOR,Norris,PIT,"Zalando at the end of the race I want to be with him, give me a head he's got three strikes already . 0:9.1"
Barcelona,16:14,HAM,Hamilton,PIT,"15 laps to go you were doing a good job, so you can go on . 0:7.3"
Barcelona,16:15,ANT,Antonelli,PIT,"Gap at 0 .9, 1 .3 behind I have 0 .1 more, please, front Copy that, Gibby . 0:9.6"
Barcelona,16:15,RUS,Russell,PIT,"I want to pick up the pace here, George. 0:4.2"
Barcelona,16:16,NOR,Norris,PIT,and it's quite clear that Anceli has been off track more than three times we've reported it to the FIA we expect he should get at least a five second penalty . 0:11.7
Barcelona,16:24,HAM,Hamilton,PIT,And bmig3 suggestion. I don't know where I am. I have set the repeat to 1. 0:9.7
Barcelona,16:29,ANT,Antonelli,PIT,"So Kimi, you've got five laps remaining, so just warning for track limits everywhere, turn five, exit, turn ten, exit. 0:9.6"
Barcelona,16:29,LEC,Leclerc,Leclerc,"Ah, look the posture. I'm losing the posture . 0:6.6"
Barcelona,16:37,HAM,Hamilton,Hamilton,"Well done, Luis. Well done. Finally, you both, you deserve the first ERA that we will always remember. Thank you. Congratulations with G. Thank you. Ciao, ragazzi. Grazie a tutti. I'm Marinello. Thank you so much. You helped me achieve this dream. And I just, I can't thank you enough. Thank you for everyone pushing so hard back at home. I'm so proud of you. And to my family, I love you. And to the fans, thank you for continuing to remind me who I am. Couldn't have done this without you. Grazie. Grazie a tutti, Luis. 0:45.2"
Barcelona,16:38,HAM,Hamilton,Hamilton,"Let's go! For the Ferrari! For the Ferrari! Guys, thank you for those great pit stops as well. Sorry I have to talk and I'm so proud of you. Thank you. 0:13.6"
Barcelona,16:40,NOR,Norris,Norris,"Ah, nice point 3. Point 3, bottom 8. Yeah, well done, Grace. See us back on the third guys. Please just keep it going. We need to catch them up! We need to catch them up! 0:14.1"
Barcelona,16:40,RUS,Russell,PIT,"Okay, set. 8 -2. Tough race. Sorry if you can't hear me. Yeah, I agree. Tough race for the team, mate. 0:9.6"
Barcelona,16:42,LIN,Lindblad,PIT,"But your face was Yeah, yeah, let's thank you for the work, let's let's review when we get back next week We lost the time Regardless, thank you for the efforts Yeah, I think I think was a very great day . 0:21.6"
Barcelona,16:42,VER,Verstappen,PIT,"Well done, Max. Yeah, I think so. Yeah, it's one race, the other one's ahead. But, yeah, it's all right. Well done, Max. That was the maximum. I like the way you achieved today. Well done with the pace and the high amount of momentum all through the race. 0:23.3"
Barcelona,16:44,COL,Colapinto,Colapinto,"Hold up, lower points. Hold up, don't get moved. 0:5.2"
Barcelona,16:46,HAD,Hadjar,PIT,"I'm going to apologise for that start to the tournament night. Yeah, I mean, the whole weekend has been terrible, so... Like, there's one task for us, and to break the ring is just the start, please. Because we're going backwards now. 0:18.5"
Barcelona,16:01,HAD,Hadjar,Hadjar,AUDIO ONLY .
Barcelona,16:19,PER,Perez,Perez,"But anyway, I think we maximize it for tomorrow. We are Yeah, that's the compromise . 0:13"
Barcelona,16:21,BOT,Bottas,PIT,"All right, that's E20. Russ. Okay. Yeah, nice and good at the car, buddy. That was a good sector one. I had some good time there. 0:11.4"
Barcelona,16:42,LIN,Lindblad,Lindblad,"Got that P -11 of it. I'm really, really sorry. We don't know what's happened. Yeah. It's fine. It's done now. We're out for tomorrow. Is what it is. Thank you everyone for the work anyway. 0:15.4"
Barcelona,16:44,HUL,Hulkenberg,PIT,"And we are through, Nico, D3, good job. Yep, that's a day. That's a day. 0:6.9"
Barcelona,17:14,HAM,Hamilton,PIT,"And we are P2, and I said P1. Good job, guys. I lost that. In turn one, a bit deep. Great job, guys. 0:14.6"
Barcelona,17:17,HAD,Hadjar,Hadjar,"Ah! I unfolded the laptop in turn 1. I could have done it, man. But the rest was good. Good job, mate. P6. P6. Ah! Thank you. But mate, that is... sugar for an 849. Like, the amount of time I left turn 1 was... entirely my fault. Yeah, mate. T -Mapper, look. T -Mapper. I just told you. Still be happy with that. Sorry, Laurent. No, no. Well done, Zach. Well done. It's a very good job. It's a very good job. Make a weekend was difficult for everyone, and you kept putting your head down, and put it where it can be today. So well done. 0:55.5"
Barcelona,17:19,HUL,Hulkenberg,PIT,"OK Niko, pick up, so V9, V8, with a 16 .5, just over 1 kt faster Yep, it's a peak, I'll display for tomorrow Yeah, definitely . 0:15"
Barcelona,12:29,STR,Stroll,Stroll,AUDIO ONLY .
Barcelona,12:51,LEC,Leclerc,Leclerc,"Yankees have a slower performance, correct? 1 to 1 .5 seconds. 0:6.3"
Barcelona,12:57,PIA,Piastri,PIT,"It was like the front wing was broken, like I had no front surf at all. Copy, we saw the same. 0:11.8"
Barcelona,13:05,BOT,Bottas,Bottas,"I lost my brake pedal, it's gone, the pedal is gone, but very lucky there. 0:11.3"
Barcelona,13:11,PER,Perez,Perez,"What happened to Valtteri? Was it just a mistake or something happened? Yeah, we are looking into that still, Sergio. Nothing should affect us. 0:12.4"
Barcelona,13:23,ANT,Antonelli,Antonelli,"Oh my god, mate. Unbelievable. It's unbelievable. I'm gonna box. Okay, copy that, mate. 0:9.3"
Barcelona,13:24,ANT,Antonelli,Antonelli,"I had four cars into Turn 1 in my first lap. Four cars. Yeah, unfortunately I don't release those cars out of the garage, mate. So, they leave when they want to leave. 0:12.2"
Barcelona,13:32,LIN,Lindblad,Lindblad,"Yeah, I think the package is fast. It's just about maximizing. We didn't do that perfectly enough for the compels faster . 0:7.3"
Barcelona,17:04,HAM,Hamilton,Hamilton,AUDIO ONLY .
Barcelona,17:10,VER,Verstappen,Verstappen,"I already lost one tip to your truck, so I don't know. Take it to court, but it's not the same. Copy that Max, we can see why you didn't have quite as much to clobber to turn on. 0:14.6"
Barcelona,17:30,ALB,Albon,Albon,"Should we just box and have a bit of a regroup or...? Yeah, yeah. Probably, I haven't driven a car so disconnected before, so... So that's what's going on with it. 0:15.7"
Barcelona,17:46,NOR,Norris,PIT,I've made a mistake and not taken out any front wing so if you think this is terrible we should box the front wing . 0:09
Barcelona,17:56,ANT,Antonelli,Antonelli,Brick Meadow feels horrible so long . 0:7.1
Barcelona,18:01,ANT,Antonelli,Antonelli,"Good job, Patrick. 0:4.9"
Barcelona,13:31,FOR,Fornaroli,Fornaroli,AUDIO ONLY .
Barcelona,13:52,LAW,Lawson,Lawson,"All right, one of these guys . 0:7.4"
Barcelona,13:58,BEG,Beganovic,Beganovic,I had a lot more power out of T7 than I expected that lap. 0:10.3
Barcelona,14:01,BOR,Bortoleto,Bortoleto,"All right, I'm losing the rear so much like the car is very unstable . 0:8.6"
Barcelona,14:07,VER,Verstappen,Verstappen,"Uh, yeah, please do the next one, uh, give me something for outfits, uh, but they're not good. Copy that, thank you. 0:08"
Barcelona,14:27,BOR,Bortoleto,Bortoleto,"Wait, what's going on? I'm sideways everywhere. I'm zero grip. We'll review for FPTune. 0:9.2"
Belgian,14:53,OCO,Ocon,PIT,"So we expect a very small shower 5 minutes after the race start, but it should last about 4 minutes and very light rain."
Belgian,14:55,SAI,Sainz,Sainz,AUDIO ONLY .
Belgian,15:08,HAM,Hamilton,Hamilton,A car crossed over in front of me. I was right behind another car so I had no front end.
Belgian,15:20,PIA,Piastri,PIT,I can't believe enough space. That could have been a massive crash. You saw?
Belgian,15:22,HUL,Hulkenberg,Hulkenberg,AUDIO ONLY .
Belgian,15:22,HUL,Hulkenberg,Hulkenberg,"Here's Scooby, got the project in love, he should be right on the track, Albon, coming across."
Belgian,15:29,HAM,Hamilton,Hamilton,I'm quicker than Charles. I've got more pace.
Belgian,15:37,ANT,Antonelli,PIT,"Your tyres are looking good Kimmy, better than others so you can afford to use them."
Belgian,15:39,HAM,Hamilton,Hamilton,What lap are we on? We are on lap 18 Why the hell? I told you what strategy I wanted to do Just to put me out with everyone else now We are on plan B .
Belgian,15:42,HAM,Hamilton,PIT,"And we are opening the gap to Piastri, and we need to serve a five -second penalty, that's why. Another one."
Belgian,15:45,HAM,Hamilton,PIT,"Is he okay? He's okay, all okay."
Belgian,15:51,HAM,Hamilton,PIT,Did you put front wing in or not? We need a manager. Yeah. I can't turn the cars in.
Belgian,16:01,NOR,Norris,PIT,"And Lando, I don't want any yo -yo racing with Oscar. I'll explain why later."
