clip_id,gp,session,driver_code,driver_name,speaker,text,is_audio_only,human_label,human_label_intensity,audio_model_label,text_model_label,lap_number,lap_is_ambiguous,audio_url
RUS_63_20260524_164224,Canadian Grand Prix,Race,RUS,Russell,engineer,Hemi will give you the position. Convenient just before the freeze. I think that was just when it was given to him. So head down. It's your throttle up to go.,False,frustrated,1,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Race/RUS_63_20260524_164224.mp3
HAM_44_20260524_172525,Canadian Grand Prix,Race,HAM,Hamilton,driver,I need more power mate,False,frustrated,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Canadian Grand Prix/Race/HAM_44_20260524_172525.mp3
GAS_10_20260606_155936,Monaco Grand Prix,Qualifying,GAS,Gasly,driver,"I'm feeling the sun, I'm feeling the sun, it's pretty hot.",False,neutral,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Qualifying/GAS_10_20260606_155936.mp3
BEA_87_20260606_162655,Monaco Grand Prix,Qualifying,BEA,Bearman,engineer,"10 -4 -3, that's clear, ping. I'm lucky with that yellow. F***, man, so lucky. Yeah, sorry, I'll leave. Oh, guys, I gave it everything on the path, I'm sorry. We needed more of them.",False,dejected,4,,,9.0,False,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Qualifying/BEA_87_20260606_162655.mp3
OCO_31_20260606_162719,Monaco Grand Prix,Qualifying,OCO,Ocon,engineer,"P -17, signs with us. Oh, yes, yes, yes. Yep.",False,frustrated,4,,,9.0,False,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Qualifying/OCO_31_20260606_162719.mp3
ANT_12_20260606_170835,Monaco Grand Prix,Qualifying,ANT,Antonelli,engineer,"Yes, Kimmy. Nice work, pal. Good man. Well done. My man. 43 milliseconds.",False,happy,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Qualifying/ANT_12_20260606_170835.mp3
ANT_12_20260606_171842,Monaco Grand Prix,Qualifying,ANT,Antonelli,engineer,That is bagging give me grande grande. Thanks Toto. Thank you so much,False,happy,4,,,2.0,False,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Qualifying/ANT_12_20260606_171842.mp3
LAW_30_20260607_142803,Monaco Grand Prix,Race,LAW,Lawson,driver,Well done everybody. You're doing a good job. You've done my best. Today doesn't make it worth it. Thank you Liam.,False,happy,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Race/LAW_30_20260607_142803.mp3
NOR_1_20260607_160057,Monaco Grand Prix,Race,NOR,Norris,engineer,"Lado, we're going to box this lap and retire the car, we're going to box the lap and retire the car.",False,neutral,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Race/NOR_1_20260607_160057.mp3
ANT_12_20260607_160731,Monaco Grand Prix,Race,ANT,Antonelli,engineer,"And if we were to stop again, I'm a safety car, we have plenty of margin, you just have to be really careful on the entry and exit. What you did last time was perfectly fine. Yeah, but I don't think we need to stop. No, no, no, it's only a safer car. You can get a free stop, that's all.",False,neutral ,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Race/ANT_12_20260607_160731.mp3
ANT_12_20260607_161605,Monaco Grand Prix,Race,ANT,Antonelli,engineer,"Okay, give me fastest lap, we don't beat them.",False,neutral,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Race/ANT_12_20260607_161605.mp3
PIA_81_20260607_171009,Monaco Grand Prix,Race,PIA,Piastri,engineer,"Oscar, the FAA have said unlikely discrepancy for the standing restock would be some laps behind the safety car. They've said they'll take a very dim view if people leave for more than 10 car lengths.",False,neutral,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Monaco Grand Prix/Race/PIA_81_20260607_171009.mp3
HAM_44_20260613_171408,Barcelona Grand Prix,Qualifying,HAM,Hamilton,engineer,"And we are P2, and I said P1. Good job, guys. I lost that. In turn one, a bit deep. Great job, guys.",False,happy,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Qualifying/HAM_44_20260613_171408.mp3
HUL_27_20260613_171913,Barcelona Grand Prix,Qualifying,HUL,Hulkenberg,engineer,"OK Niko, good job,so P9, P8, with a 16 .5, just over 1 kt faster Yep, it's a peak, I'll display for tomorrow Yeah, definitely",False,happy,3,,,2.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Qualifying/HUL_27_20260613_171913.mp3
VER_3_20260614_151828,Barcelona Grand Prix,Race,VER,Verstappen,driver,"Yeah, it's not like a lot to the bias the league on the street. It's not impressive",False,dejected,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/VER_3_20260614_151828.mp3
ANT_12_20260614_153235,Barcelona Grand Prix,Race,ANT,Antonelli,driver,"Happy with pushing. Affirm, Kimmy. Good lap times.",False,neutral,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/ANT_12_20260614_153235.mp3
HUL_27_20260614_153713,Barcelona Grand Prix,Race,HUL,Hulkenberg,engineer,I'm on the break here. Dangerous.,False,frustrated,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/HUL_27_20260614_153713.mp3
ANT_12_20260614_154351,Barcelona Grand Prix,Race,ANT,Antonelli,engineer,"It's going to give me black or white flag for track limits, so no more of those please, otherwise it's a five second penalty.",False,frustrated,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/ANT_12_20260614_154351.mp3
RUS_63_20260614_160340,Barcelona Grand Prix,Race,RUS,Russell,engineer,"24 laps remaining, that's the race up ahead of you, got 1 .3 behind",False,neutral,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/RUS_63_20260614_160340.mp3
NOR_1_20260614_161310,Barcelona Grand Prix,Race,NOR,Norris,engineer,"Zalando at the end of the race I want to be with him, give me a head he's got three strikes already",False,neutral,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/NOR_1_20260614_161310.mp3
LEC_16_20260614_162944,Barcelona Grand Prix,Race,LEC,Leclerc,driver,"Ah, look the posture. I'm losing the posture",False,frustrated,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/LEC_16_20260614_162944.mp3
RUS_63_20260614_164059,Barcelona Grand Prix,Race,RUS,Russell,engineer,"Okay, set. 8 -2. Tough race. Sorry if you can't hear me. Yeah, I agree. Tough race for the team, mate.",False,dejected,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Barcelona Grand Prix/Race/RUS_63_20260614_164059.mp3
HAM_44_20260627_165412,Austrian Grand Prix,Qualifying,HAM,Hamilton,engineer,"Can I go for a second map negative? Oh, he's supposed to have a supposed to have a bank it feel why",False,frustrated,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Austrian Grand Prix/Qualifying/HAM_44_20260627_165412.mp3
PIA_81_20260628_143201,Austrian Grand Prix,Race,PIA,Piastri,driver,"Um, can we just check that the left side of my seat, I mean I guess it's coming out, anyway, but it feels like it's not, probably in, uh, like around my left leg Probably not, yeah",False,frustrated,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Austrian Grand Prix/Race/PIA_81_20260628_143201.mp3
PER_11_20260628_150840,Austrian Grand Prix,Race,PER,Perez,driver,"I'll follow that up as well, because I think that's good.",False,frustrated,1,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Austrian Grand Prix/Race/PER_11_20260628_150840.mp3
LEC_16_20260628_161444,Austrian Grand Prix,Race,LEC,Leclerc,driver,I want to have a good produce to stop again now nothing,False,neutral,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Austrian Grand Prix/Race/LEC_16_20260628_161444.mp3
LAW_30_20260703_165816,British Grand Prix,Sprint Qualifying,LAW,Lawson,driver,That's gotta be good. Very good lap,False,happy,3,,,7.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/British Grand Prix/Sprint Qualifying/LAW_30_20260703_165816.mp3
BEA_87_20260704_165319,British Grand Prix,Qualifying,BEA,Bearman,engineer,"Your P14, that's a good result Oli, that's a good result. Yeah, good job Oli, I know that's not what you want in your home Grand Prix, but you got the best out of it, thank you, we'll get better. Yeah, good job everyone, I think we've done the right thing again, which is all we can achieve at this stage.",False,happy,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/British Grand Prix/Qualifying/BEA_87_20260704_165319.mp3
ALB_23_20260705_160209,British Grand Prix,Race,ALB,Albon,engineer,"Alex, small feedback please for you, the wake belt was 4 load, copy, this way, 4 load. Same as the simulator, keep it to a full DD slope, can't really do it, what's it going to be? Copy.",False,neutral,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/British Grand Prix/Race/ALB_23_20260705_160209.mp3
ANT_12_20260705_162333,British Grand Prix,Race,ANT,Antonelli,engineer,"We do have a 5 second penalty for track limits Yeah but that's a joke mate, I didn't do it on purpose Like, the car was broken Yeah understood Like I wasn't even getting time Yeah I know mate, I know mate",False,dejected,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/British Grand Prix/Race/ANT_12_20260705_162333.mp3
ANT_12_20260718_171053,Belgian Grand Prix,Qualifying,ANT,Antonelli,engineer,"That's P1, mate. Let's go, man. Let's go. Nice birthday present for your old man. Yeah, happy birthday, Dad. Well done, mate. Yeah, really tidy lap there.",False,happy,4,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Belgian Grand Prix/Qualifying/ANT_12_20260718_171053.mp3
HAM_44_20260719_155123,Belgian Grand Prix,Race,HAM,Hamilton,engineer,Did you put front wing in or not? We need a manager. Yeah. I can't turn the cars in.,False,frustrated,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Belgian Grand Prix/Race/HAM_44_20260719_155123.mp3
LEC_16_20260719_160412,Belgian Grand Prix,Race,LEC,Leclerc,driver,"These pros and secondaries are so bad, so rotten, so bad, so hard.",False,frustrated,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Belgian Grand Prix/Race/LEC_16_20260719_160412.mp3
HAM_44_20260719_163219,Belgian Grand Prix,Race,HAM,Hamilton,driver,I don't know if that's what they're supposed to be.,False,dejected,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Belgian Grand Prix/Race/HAM_44_20260719_163219.mp3
BOR_5_20260719_163412,Belgian Grand Prix,Race,BOR,Bortoleto,engineer,"Come on, that's P8, P8, more than, more than, charge up, more than, and we drive into P1, into turn 1, what a race you have driven, Gabi, what a race, unbelievable, second assist, yes, yes, yes, coming to the pit, drive it slowly, come on, what a race, amazing driving, mega job, mega job, mega quality, thank you very much. Again, fantastic job, really well deserved, you did a fantastic, to put out a fight, unbelievable fight out there, and great job for the team on the pit stop, double stack getting you and Nico in a good time for double points. Yes, thanks everyone, what a weekend, amazing, I thought my T .I .2 would take off again, thank you. And remember, full switch off when you're around the parking lot, and again. What a fight you put out there today, really well deserved P8, fantastic job mate, and the team and the guys in the pit stop did a fantastic job as well, fantastic, great job.",False,happy,5,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Belgian Grand Prix/Race/BOR_5_20260719_163412.mp3
LIN_41_20260719_163621,Belgian Grand Prix,Race,LIN,Lindblad,driver,"Yeah, thank you everyone. I really tried. Yeah, it's a shame about the BSC, but regardless, a really good weekend again, so thank you for the work.",False,happy,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Belgian Grand Prix/Race/LIN_41_20260719_163621.mp3
GAS_10_20260725_164210,Hungarian Grand Prix,Qualifying,GAS,Gasly,driver,"Focus on tomorrow, thanks guys. Alright, thank you.",False,neutral,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Hungarian Grand Prix/Qualifying/GAS_10_20260725_164210.mp3
NOR_1_20260726_154941,Hungarian Grand Prix,Race,NOR,Norris,driver,You mean you won't let me? I'm miles faster,False,frustrated,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Hungarian Grand Prix/Race/NOR_1_20260726_154941.mp3
ANT_12_20260726_162520,Hungarian Grand Prix,Race,ANT,Antonelli,engineer,"But I think I was ahead yeah, we're just talking through we think we were",False,neutral,2,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Hungarian Grand Prix/Race/ANT_12_20260726_162520.mp3
NOR_1_20260726_164736,Hungarian Grand Prix,Race,NOR,Norris,driver,"And Lando, Barnsey put it on your piece of tape. One who's laughing. I only did it for him. Thanks Barnsey for everything. Beautiful career. I did it on a high. Thank you very much for everything.",False,happy,3,,,1.0,True,https://d1bntksftjpew6.cloudfront.net/v1/audio/2026/Hungarian Grand Prix/Race/NOR_1_20260726_164736.mp3
test_clip,Test GP,Race,VER,Max Verstappen,driver,This is a test transcript,False,frustrated,0.85,angry,annoyed,42,,test.mp3
9839_81_2025-12-07T13:38:42.949000+00:00,Abu Dhabi Grand Prix,Race,PIA,Oscar PIASTRI,driver,You've got some clear air. Let's see how this tyre recovers.,False,neutral,1.0,neutral,neutral,24.0,,https://livetiming.formula1.com/static/2025/2025-12-07_Abu_Dhabi_Grand_Prix/2025-12-07_Race/TeamRadio/OSCPIA01_81_20251207_173821.mp3
9662_55_2024-12-08T14:21:43.096000+00:00,Abu Dhabi Grand Prix,Race,SAI,Carlos SAINZ,driver,"I think I have a picture, check. Copy, you're checking. I think I went to the temporary or something. Copy, all OK for now, everything's stable.",False,neutral,1.0,neutral,neutral,53.0,,https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/CARSAI01_55_20241208_182110.mp3
9662_44_2024-12-08T14:47:11.274000+00:00,Abu Dhabi Grand Prix,Race,HAM,Lewis HAMILTON,driver,"And that's the end of an era. Gotta say mate, it's been epic working with you. Luis, that was the drive of a world champion. That was the drive of a world champion. Amazing. Thanks Toto. That was fun. Good man. Stellar job today, bud. But yeah, it's been a pleasure all the way. In the tough times... The pleasure's been mine. Yeah, I want to... You know, we... We dreamed alone, but together we believed. And as a team, we achieved things that only... Thank you for all the courage, the determination, and the passion for seeing me and supporting me what started out as a leap of faith turned into a journey into the history books so we did everything together and i'm so so grateful to everyone both here back at factory from the bottom of my heart all the best thank you lewis yeah. Yeah, it's been an amazing journey. And yeah, I've been so grateful to be part of this chapter of your life. And best luck for the next one. I love you guys. I really, really do. We love you too. And you're always going to be part of that family. And if we can't win, you should win.",False,happy,0.8,happy,happy,58.0,,https://livetiming.formula1.com/static/2024/2024-12-08_Abu_Dhabi_Grand_Prix/2024-12-08_Race/TeamRadio/LEWHAM01_44_20241208_184625.mp3
2026__Hungarian_Grand_Prix__Race__PIA_81_20260726_160114,Hungarian Grand Prix,Race,PIA,Piastri,driver,"Oh mate, it's better you don't f***ing call me now. I was saving you guys to effect the other one in by the way. Thanks.",False,frustrated,0.4,frustrated,frustrated,5.0,,/archive-audio/PIA_81_20260726_160114.mp3
2026__Hungarian_Grand_Prix__Race__RUS_63_20260726_150501,Hungarian Grand Prix,Race,RUS,Russell,driver,"Well, it's 2% shallow, it was a throttle pedal you backed off, high RPM.",False,neutral,0.8,neutral,neutral,1.0,,/archive-audio/RUS_63_20260726_150501.mp3
2026__Hungarian_Grand_Prix__Race__BEA_87_20260726_145310,Hungarian Grand Prix,Race,BEA,Bearman,driver,,False,unknown,0.0,unknown,,,,/archive-audio/BEA_87_20260726_145310.mp3
